run_accession	sample_accession	sample_alias	sample_group	host	host_species	inoculum	compartment	nutrient	experiment_round	growth_chamber	bio_replicate	read_count	fastq_gb	instrument_model	note
SRR29710139	SAMN42329374	R1_Hv_GC3_SSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES		R1	GC3	B2	442523	0.087	Illumina NovaSeq 6000	
SRR29710142	SAMN42329372	R1_Hv_GC3_LjSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES		R1	GC3	B4	96336	0.012	Illumina NovaSeq 6000	
SRR29710147	SAMN42329367	R1_Hv_GC3_HvSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES		R1	GC3	B3	4023308	0.476	Illumina NovaSeq 6000	
SRR29710149	SAMN42329006	At_HvSC_RZ_HL_orig_B1	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	HvSC	RZ				B1	131618	0.019	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710155	SAMN42329361	R1_Hv_GC3_AtSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	ES		R1	GC3	B1	4646493	0.545	Illumina NovaSeq 6000	
SRR29710157	SAMN42329359	R1_Hv_GC2_SSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES		R1	GC2	B3	3543776	0.416	Illumina NovaSeq 6000	
SRR29710168	SAMN42329276	Lj_SSC_NOD_low_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	NOD	low			B3	2752201	0.336	Illumina NovaSeq 6000	
SRR29710175	SAMN42329270	Lj_SSC_NOD_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	NOD	high			B1	2212550	0.245	Illumina NovaSeq 6000	
SRR29710177	SAMN42329268	Lj_SSC_ES_low_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES	low			B3	1357631	0.153	Illumina NovaSeq 6000	
SRR29710181	SAMN42328969	At_AtSC_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	ES	high			B4	2949759	0.319	Illumina NovaSeq 6000	
SRR29710185	SAMN42329262	Lj_SSC_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES	high			B1	1963806	0.245	Illumina NovaSeq 6000	
SRR29710186	SAMN42329261	Lj_NS_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	NS	RZ	low			B4	103131	0.014	Illumina NovaSeq 6000	
SRR29710199	SAMN42329201	Lj_HvSC_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES	high			B4	1907912	0.243	Illumina NovaSeq 6000	
SRR29710200	SAMN42329200	Lj_HvSC_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES	high			B3	2585043	0.316	Illumina NovaSeq 6000	
SRR29710201	SAMN42329199	Lj_HvSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES	high			B2	1025842	0.134	Illumina NovaSeq 6000	
SRR29710212	SAMN42329189	Lj_AtSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	ES	low			B4	2320366	0.267	Illumina NovaSeq 6000	
SRR29710215	SAMN42329186	Lj_AtSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	ES	low			B1	102337	0.013	Illumina NovaSeq 6000	
SRR29710222	SAMN42329107	Hv_HvSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	low			B2	10337461	1.214	Illumina NovaSeq 6000	
SRR29710231	SAMN42329099	Hv_AtSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	RZ	low			B2	193540	0.027	Illumina NovaSeq 6000	
SRR29710233	SAMN42329097	Hv_AtSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	RZ	high			B4	4006496	0.564	Illumina NovaSeq 6000	
SRR29710237	SAMN42329094	Hv_AtSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	RZ	high			B1	4288093	0.627	Illumina NovaSeq 6000	
SRR29710242	SAMN42329089	Hv_AtSC_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	ES	high			B4	2185608	0.285	Illumina NovaSeq 6000	
SRR29710256	SAMN42329389	R1_Lj_GC1_HvSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES		R1	GC1	B4	2289417	0.283	Illumina NovaSeq 6000	
SRR29710280	SAMN42328999	At_HvSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES	low			B2	841745	0.085	Illumina NovaSeq 6000	
SRR29710284	SAMN42329292	NP_AtSC_low_B3	No-plant control (inoculum in sterile substrate, no host)			AtSC		low			B3	71340	0.01	Illumina NovaSeq 6000	
SRR29710286	SAMN42329290	NP_AtSC_low_B1	No-plant control (inoculum in sterile substrate, no host)			AtSC		low			B1	29345	0.004	Illumina NovaSeq 6000	
SRR29710289	SAMN42329287	NP_AtSC_high_B2	No-plant control (inoculum in sterile substrate, no host)			AtSC		high			B2	101331	0.014	Illumina NovaSeq 6000	
SRR29710290	SAMN42329286	NP_AtSC_high_B1	No-plant control (inoculum in sterile substrate, no host)			AtSC		high			B1	127106	0.018	Illumina NovaSeq 6000	
SRR29710297	SAMN42329280	Lj_SSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	RZ	high			B3	4270234	0.538	Illumina NovaSeq 6000	
SRR29710299	SAMN42329278	Lj_SSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	RZ	high			B1	190591	0.025	Illumina NovaSeq 6000	
SRR29710302	SAMN42329226	Lj_LjSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES	low			B1	5121853	0.627	Illumina NovaSeq 6000	
SRR29710307	SAMN42329222	Lj_LjSC_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES	high			B1	2654203	0.308	Illumina NovaSeq 6000	
SRR29710315	SAMN42329215	Lj_HvSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	RZ	high			B2	2687442	0.351	Illumina NovaSeq 6000	
SRR29710325	SAMN42328990	At_HvSC_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES	high			B1	1286135	0.148	Illumina NovaSeq 6000	
SRR29710331	SAMN42329126	Hv_LjSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	RZ	high			B1	4558785	0.616	Illumina NovaSeq 6000	
SRR29710337	SAMN42329121	Hv_LjSC_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES	high			B4	2768550	0.359	Illumina NovaSeq 6000	
SRR29710339	SAMN42329119	Hv_LjSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES	high			B2	4465116	0.587	Illumina NovaSeq 6000	
SRR29710341	SAMN42329117	Hv_HvSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	low			B4	54178	0.008	Illumina NovaSeq 6000	
SRR29710343	SAMN42328981	At_AtSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	RZ	high			B4	165158	0.021	Illumina NovaSeq 6000	
SRR29710350	SAMN42329109	Hv_HvSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	low			B4	6404735	0.748	Illumina NovaSeq 6000	
SRR29710358	SAMN42329079	At_SSC_RZ_HL_orig_B2	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	SSC	RZ				B2	217995	0.031	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710374	SAMN42328967	At_AtSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	ES	high			B2	3849387	0.449	Illumina NovaSeq 6000	
SRR29709947	SAMN42329034	At_LjSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	RZ	low			B1	114485	0.017	Illumina NovaSeq 6000	
SRR29709951	SAMN42329030	At_LjSC_RZ_HL_orig_B1	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	LjSC	RZ				B1	167519	0.023	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709953	SAMN42329028	At_LjSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	RZ	high			B3	25498	0.004	Illumina NovaSeq 6000	
SRR29709954	SAMN42329027	At_LjSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	RZ	high			B2	2234263	0.297	Illumina NovaSeq 6000	
SRR29709961	SAMN42329348	R1_At_GC2_SSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES		R1	GC2	B1	1894	0.0	Illumina NovaSeq 6000	
SRR29709966	SAMN42329344	R1_At_GC2_HvSC_ES_B5	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES		R1	GC2	B5	3781410	0.449	Illumina NovaSeq 6000	
SRR29709968	SAMN42329342	R1_At_GC2_HvSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES		R1	GC2	B2	566544	0.055	Illumina NovaSeq 6000	
SRR29709969	SAMN42329341	R1_At_GC2_HvSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES		R1	GC2	B1	4916314	0.444	Illumina NovaSeq 6000	
SRR29709970	SAMN42329340	R1_At_GC2_AtSC_ES_B5	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	ES		R1	GC2	B5	1164303	0.137	Illumina NovaSeq 6000	
SRR29709974	SAMN42329336	R1_At_GC2_AtSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	ES		R1	GC2	B1	1161605	0.118	Illumina NovaSeq 6000	
SRR29709991	SAMN42329246	Lj_NS_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	NS	ES	high			B1	108876	0.015	Illumina NovaSeq 6000	
SRR29709992	SAMN42328994	At_HvSC_ES_HL_orig_B1	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	HvSC	ES				B1	2947804	0.317	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29709993	SAMN42329245	Lj_LjSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	RZ	low			B4	3644217	0.463	Illumina NovaSeq 6000	
SRR29709997	SAMN42329241	Lj_LjSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	RZ	high			B4	7079550	0.972	Illumina NovaSeq 6000	
SRR29709999	SAMN42329239	Lj_LjSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	RZ	high			B2	4408074	0.576	Illumina NovaSeq 6000	
SRR29710001	SAMN42329237	Lj_LjSC_NOD_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	NOD	low			B4	3755153	0.453	Illumina NovaSeq 6000	
SRR29710007	SAMN42329232	Lj_LjSC_NOD_high_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	NOD	high			B3	5283999	0.706	Illumina NovaSeq 6000	
SRR29710011	SAMN42329180	Input_SSC_B3	Input (inoculum sequenced directly, no plant)			SSC					B3	1840967	0.245	Illumina NovaSeq 6000	
SRR29710013	SAMN42329178	Input_SSC_B1	Input (inoculum sequenced directly, no plant)			SSC					B1	2429415	0.328	Illumina NovaSeq 6000	
SRR29710015	SAMN42329176	Input_LjSC_B3	Input (inoculum sequenced directly, no plant)			LjSC					B3	132964	0.018	Illumina NovaSeq 6000	
SRR29710016	SAMN42328987	At_AtSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	RZ	low			B2	112400	0.019	Illumina NovaSeq 6000	
SRR29710022	SAMN42329170	Input_HvSC_B1	Input (inoculum sequenced directly, no plant)			HvSC					B1	1386028	0.181	Illumina NovaSeq 6000	
SRR29710039	SAMN42328985	At_AtSC_RZ_HL_orig_B4	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	AtSC	RZ				B4	8620	0.001	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710044	SAMN42329151	Hv_SSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES	high			B2	1626561	0.201	Illumina NovaSeq 6000	
SRR29710072	SAMN42329017	At_LjSC_ES_high_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	ES	high			B4	3604535	0.38	Illumina NovaSeq 6000	
SRR29710073	SAMN42329016	At_LjSC_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	LjSC	ES	high			B3	2058114	0.228	Illumina NovaSeq 6000	
SRR29710077	SAMN42329013	At_HvSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	RZ	low			B4	66340	0.009	Illumina NovaSeq 6000	
SRR29710079	SAMN42329011	At_HvSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	RZ	low			B2	77047	0.011	Illumina NovaSeq 6000	
SRR29710088	SAMN42329400	R1_Lj_GC2_SSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC2	B1	3432783	0.424	Illumina NovaSeq 6000	
SRR29710092	SAMN42329326	NP_SSC_low_B1	No-plant control (inoculum in sterile substrate, no host)			SSC		low			B1	37865	0.005	Illumina NovaSeq 6000	
SRR29710096	SAMN42329323	NP_SSC_high_B2	No-plant control (inoculum in sterile substrate, no host)			SSC		high			B2	126230	0.018	Illumina NovaSeq 6000	
SRR29710099	SAMN42329320	NP_NS_low_GC2_B3	No-plant control, natural-soil inoculum			NS (natural soil)		low		GC2	B3	70568	0.01	Illumina NovaSeq 6000	
SRR29710111	SAMN42329309	NP_LjSC_low_B4	No-plant control (inoculum in sterile substrate, no host)			LjSC		low			B4	3475913	0.445	Illumina NovaSeq 6000	
SRR29710117	SAMN42329304	NP_LjSC_high_B3	No-plant control (inoculum in sterile substrate, no host)			LjSC		high			B3	49099	0.006	Illumina NovaSeq 6000	
SRR29710125	SAMN42329059	At_NS_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	RZ	low			B2	11710	0.002	Illumina NovaSeq 6000	
SRR29710136	SAMN42329049	At_NS_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	NS	ES	low			B4	4110132	0.496	Illumina NovaSeq 6000	
SRR29710143	SAMN42329371	R1_Hv_GC3_LjSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES		R1	GC3	B3	1076836	0.126	Illumina NovaSeq 6000	
SRR29710144	SAMN42329370	R1_Hv_GC3_LjSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES		R1	GC3	B2	3641677	0.438	Illumina NovaSeq 6000	
SRR29710150	SAMN42328970	At_AtSC_ES_HL_orig_B1	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	AtSC	ES				B1	3629406	0.388	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710153	SAMN42329363	R1_Hv_GC3_AtSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	ES		R1	GC3	B3	4106301	0.492	Illumina NovaSeq 6000	
SRR29710163	SAMN42329354	R1_Hv_GC1_SSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES		R1	GC1	B3	1217054	0.255	Illumina NovaSeq 6000	
SRR29710171	SAMN42329274	Lj_SSC_NOD_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	NOD	low			B1	6762200	0.802	Illumina NovaSeq 6000	
SRR29710174	SAMN42329271	Lj_SSC_NOD_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	NOD	high			B2	2508045	0.283	Illumina NovaSeq 6000	
SRR29710179	SAMN42329266	Lj_SSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES	low			B1	1980083	0.233	Illumina NovaSeq 6000	
SRR29710187	SAMN42329260	Lj_NS_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	NS	RZ	low			B3	105527	0.015	Illumina NovaSeq 6000	
SRR29710194	SAMN42329205	Lj_HvSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES	low			B4	1728240	0.19	Illumina NovaSeq 6000	
SRR29710205	SAMN42328989	At_AtSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	RZ	low			B4	282339	0.041	Illumina NovaSeq 6000	
SRR29710209	SAMN42329192	Lj_AtSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	RZ	high			B3	1596799	0.217	Illumina NovaSeq 6000	
SRR29710216	SAMN42328988	At_AtSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	RZ	low			B3	151754	0.024	Illumina NovaSeq 6000	
SRR29710219	SAMN42329183	Lj_AtSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	ES	high			B2	3676826	0.492	Illumina NovaSeq 6000	
SRR29710223	SAMN42329106	Hv_HvSC_ES_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	low			B1	8938000	1.061	Illumina NovaSeq 6000	
SRR29710224	SAMN42328980	At_AtSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	RZ	high			B3	49265	0.007	Illumina NovaSeq 6000	
SRR29710226	SAMN42329104	Hv_HvSC_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	high			B3	4774015	0.64	Illumina NovaSeq 6000	
SRR29710234	SAMN42329096	Hv_AtSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	RZ	high			B3	3206776	0.431	Illumina NovaSeq 6000	
SRR29710235	SAMN42328979	At_AtSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	RZ	high			B2	64268	0.009	Illumina NovaSeq 6000	
SRR29710247	SAMN42329397	R1_Lj_GC1_SSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC1	B4	855192	0.113	Illumina NovaSeq 6000	
SRR29710254	SAMN42329391	R1_Lj_GC1_LjSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES		R1	GC1	B2	2591405	0.236	Illumina NovaSeq 6000	
SRR29710255	SAMN42329390	R1_Lj_GC1_LjSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES		R1	GC1	B1	37079	0.004	Illumina NovaSeq 6000	
SRR29710259	SAMN42329386	R1_Lj_GC1_HvSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES		R1	GC1	B1	3554966	0.327	Illumina NovaSeq 6000	
SRR29710260	SAMN42329008	At_HvSC_RZ_HL_orig_B3	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	HvSC	RZ				B3	63096	0.009	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710261	SAMN42329385	R1_Lj_GC1_AtSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	ES		R1	GC1	B4	2765919	0.29	Illumina NovaSeq 6000	
SRR29710263	SAMN42329383	R1_Lj_GC1_AtSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	ES		R1	GC1	B2	3379464	0.38	Illumina NovaSeq 6000	
SRR29710272	SAMN42329375	R1_Hv_GC3_SSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES		R1	GC3	B3	200060	0.049	Illumina NovaSeq 6000	
SRR29710273	SAMN42329302	NP_LjSC_high_B1	No-plant control (inoculum in sterile substrate, no host)			LjSC		high			B1	48559	0.007	Illumina NovaSeq 6000	
SRR29710281	SAMN42329295	NP_HvSC_high_B2	No-plant control (inoculum in sterile substrate, no host)			HvSC		high			B2	65522	0.01	Illumina NovaSeq 6000	
SRR29710282	SAMN42329294	NP_HvSC_high_B1	No-plant control (inoculum in sterile substrate, no host)			HvSC		high			B1	99631	0.014	Illumina NovaSeq 6000	
SRR29710287	SAMN42329289	NP_AtSC_high_B4	No-plant control (inoculum in sterile substrate, no host)			AtSC		high			B4	34197	0.005	Illumina NovaSeq 6000	
SRR29710294	SAMN42329283	Lj_SSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	RZ	low			B2	2233746	0.275	Illumina NovaSeq 6000	
SRR29710295	SAMN42329282	Lj_SSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	RZ	low			B1	350385	0.045	Illumina NovaSeq 6000	
SRR29710301	SAMN42329227	Lj_LjSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES	low			B2	1255881	0.156	Illumina NovaSeq 6000	
SRR29710303	SAMN42328992	At_HvSC_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	HvSC	ES	high			B3	2379739	0.242	Illumina NovaSeq 6000	
SRR29710306	SAMN42329223	Lj_LjSC_ES_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES	high			B2	575249	0.069	Illumina NovaSeq 6000	
SRR29710308	SAMN42329221	Lj_HvSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	RZ	low			B4	8550	0.001	Illumina NovaSeq 6000	
SRR29710316	SAMN42329214	Lj_HvSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	RZ	high			B1	1844064	0.243	Illumina NovaSeq 6000	
SRR29710317	SAMN42329213	Lj_HvSC_NOD_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	NOD	low			B4	8206413	0.932	Illumina NovaSeq 6000	
SRR29710318	SAMN42329212	Lj_HvSC_NOD_low_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	NOD	low			B3	5349611	0.624	Illumina NovaSeq 6000	
SRR29710322	SAMN42329208	Lj_HvSC_NOD_high_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	NOD	high			B3	114411	0.017	Illumina NovaSeq 6000	
SRR29710326	SAMN42329131	Hv_LjSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	RZ	low			B2	84152	0.012	Illumina NovaSeq 6000	
SRR29710327	SAMN42329130	Hv_LjSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	RZ	low			B1	100092	0.014	Illumina NovaSeq 6000	
SRR29710329	SAMN42329128	Hv_LjSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	RZ	high			B3	3249466	0.454	Illumina NovaSeq 6000	
SRR29710330	SAMN42329127	Hv_LjSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	RZ	high			B2	4469030	0.606	Illumina NovaSeq 6000	
SRR29710332	SAMN42328982	At_AtSC_RZ_HL_orig_B1	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	AtSC	RZ				B1	195323	0.028	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710344	SAMN42329115	Hv_HvSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	low			B2	2082420	0.277	Illumina NovaSeq 6000	
SRR29710348	SAMN42329111	Hv_HvSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	high			B2	2762499	0.372	Illumina NovaSeq 6000	
SRR29710351	SAMN42329085	At_SSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	RZ	low			B4	92287	0.012	Illumina NovaSeq 6000	
SRR29710354	SAMN42329083	At_SSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	RZ	low			B2	22336	0.003	Illumina NovaSeq 6000	
SRR29710356	SAMN42329081	At_SSC_RZ_HL_orig_B4	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	SSC	RZ				B4	163025	0.023	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710361	SAMN42329076	At_SSC_RZ_high_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	RZ	high			B3	22597	0.003	Illumina NovaSeq 6000	
SRR29710362	SAMN42328977	At_AtSC_ES_low_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	ES	low			B4	935657	0.1	Illumina NovaSeq 6000	
SRR29710366	SAMN42329072	At_SSC_ES_low_B3	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES	low			B3	1409044	0.153	Illumina NovaSeq 6000	
SRR29710367	SAMN42329071	At_SSC_ES_low_B2	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	ES	low			B2	1776073	0.202	Illumina NovaSeq 6000	
SRR29710371	SAMN42329067	At_SSC_ES_HL_orig_B2	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	SSC	ES				B2	948650	0.105	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
