accession	assembly_name	collection	sample_accession	scientific_name	base_count
GCA_056396225	ASM5639622v1	AtSC	SAMN42773496	Terrabacter sp. 05T424	4805522
GCA_056396245	ASM5639624v1	AtSC	SAMN42773495	Arthrobacter sp. 05T423	5191572
GCA_056396265	ASM5639626v1	AtSC	SAMN42773494	Allobosea sp. 05T422_2	7471645
GCA_056396285	ASM5639628v1	AtSC	SAMN42773493	Cupriavidus sp. 05T422	6648461
GCA_056396305	ASM5639630v1	AtSC	SAMN42773491	Arthrobacter sp. 05T420	4651063
GCA_056396325	ASM5639632v1	AtSC	SAMN42773492	Lysobacter sp. 05T421	3468552
GCA_056396345	ASM5639634v1	AtSC	SAMN42773490	Cupriavidus sp. 05T42	5939997
GCA_056396365	ASM5639636v1	AtSC	SAMN42773489	Cupriavidus sp. 05T419	6650284
GCA_056396385	ASM5639638v1	AtSC	SAMN42773488	Variovorax sp. 05T418	6605217
GCA_056396405	ASM5639640v1	AtSC	SAMN42773487	Lysobacter sp. 05T417	3813527
GCA_056396425	ASM5639642v1	AtSC	SAMN42773486	Lysobacter sp. 05T416	3809916
GCA_056396445	ASM5639644v1	AtSC	SAMN42773485	Variovorax sp. 05T414	6706389
GCA_056396465	ASM5639646v1	AtSC	SAMN42773484	Chitinophaga sp. 05T412	8726731
GCA_056396485	ASM5639648v1	AtSC	SAMN42773483	Psychrobacillus sp. 05T411	4230864
GCA_056396505	ASM5639650v1	AtSC	SAMN42773482	Arthrobacter sp. 05T410	4856292
GCA_056396525	ASM5639652v1	AtSC	SAMN42773481	Cupriavidus sp. 05T41	8796191
GCA_056396545	ASM5639654v1	AtSC	SAMN42773480	Stenotrophomonas sp. 05T38	4705707
GCA_056396565	ASM5639656v1	AtSC	SAMN42773479	Pseudomonas sp. 05T37	7047256
GCA_056396585	ASM5639658v1	AtSC	SAMN42773478	Pseudomonas sp. 05T36	6512596
GCA_056396605	ASM5639660v1	AtSC	SAMN42773477	Pseudomonas sp. 05T35	6064438
GCA_056396625	ASM5639662v1	AtSC	SAMN42773476	Pseudomonas sp. 05T34	6491128
GCA_056396645	ASM5639664v1	AtSC	SAMN42773475	Pseudomonas sp. 05T33	6276780
GCA_056396665	ASM5639666v1	AtSC	SAMN42773474	Cupriavidus sp. 05T313	8920325
GCA_056396685	ASM5639668v1	AtSC	SAMN42773473	Pseudarthrobacter sp. 05T312	4714254
GCA_056396705	ASM5639670v1	AtSC	SAMN42773472	Pseudomonas sp. 05T310	6504761
GCA_056396725	ASM5639672v1	AtSC	SAMN42773471	Bacillus sp. 05T31	5718345
GCA_056396745	ASM5639674v1	AtSC	SAMN42773470	Stenotrophomonas sp. 05T23	4691739
GCA_056396765	ASM5639676v1	AtSC	SAMN42773469	Bacillus sp. 05T22	5380588
GCA_056396785	ASM5639678v1	AtSC	SAMN42773468	Bacillus sp. 05T21	6283810
GCA_056396805	ASM5639680v1	AtSC	SAMN42773467	Rhizobium sp. 05N49	7364426
GCA_056396825	ASM5639682v1	AtSC	SAMN42773466	Cupriavidus sp. 05N47	6723727
GCA_056396845	ASM5639684v1	AtSC	SAMN42773465	Cupriavidus sp. 05N45	5996641
GCA_056396865	ASM5639686v1	AtSC	SAMN42773462	Pseudomonas sp. 05N435	6586062
GCA_056396885	ASM5639688v1	AtSC	SAMN42773463	Caulobacter sp. 05N436	5290335
GCA_056396905	ASM5639690v1	AtSC	SAMN42773464	Bacillus sp. 05N44	5936015
GCA_056396925	ASM5639692v1	AtSC	SAMN42773460	Pseudomonas sp. 05N433	6481000
GCA_056396945	ASM5639694v1	AtSC	SAMN42773459	Pseudomonas sp. 05N432	6294581
GCA_056396965	ASM5639696v1	AtSC	SAMN42773461	Pseudomonas sp. 05N434	6254773
GCA_056396985	ASM5639698v1	AtSC	SAMN42773457	Rhizobium sp. 05N430	6107965
GCA_056397005	ASM5639700v1	AtSC	SAMN42773458	Pseudomonas sp. 05N431	6310903
GCA_056397025	ASM5639702v1	AtSC	SAMN42773456	Bacillus sp. 05N43	5992189
GCA_056397045	ASM5639704v1	AtSC	SAMN42773455	Arthrobacter sp. 05N429	4121719
GCA_056397065	ASM5639706v1	AtSC	SAMN42773454	Arthrobacter sp. 05N428_2	3902771
GCA_056397085	ASM5639708v1	AtSC	SAMN42773453	Peribacillus sp. 05N428	6060998
GCA_056397105	ASM5639710v1	AtSC	SAMN42773452	Microbacterium sp. 05N427	4174821
GCA_056397125	ASM5639712v1	AtSC	SAMN42773451	Arthrobacter sp. 05N425	3655537
GCA_056397145	ASM5639714v1	AtSC	SAMN42773450	Stenotrophomonas sp. 05N423	3757307
GCA_056397165	ASM5639716v1	AtSC	SAMN42773449	Variovorax sp. 05N422	6704059
GCA_056397185	ASM5639718v1	AtSC	SAMN42773447	Stenotrophomonas sp. 05N42	4704194
GCA_056397205	ASM5639720v1	AtSC	SAMN42773448	Massilia sp. 05N420	5969512
GCA_056397225	ASM5639722v1	AtSC	SAMN42773446	Cupriavidus sp. 05N419	6723745
GCA_056397245	ASM5639724v1	AtSC	SAMN42773445	Cupriavidus sp. 05N414	5755912
GCA_056397265	ASM5639726v1	AtSC	SAMN42773444	Pedobacter sp. 05N413	6183324
GCA_056397285	ASM5639728v1	AtSC	SAMN42773443	Cupriavidus sp. 05N411	5920537
GCA_056397305	ASM5639730v1	AtSC	SAMN42773442	Cupriavidus sp. 05N40	8787092
GCA_056397325	ASM5639732v1	AtSC	SAMN42773441	Cupriavidus sp. 05N39	8971574
GCA_056397345	ASM5639734v1	AtSC	SAMN42773440	Cupriavidus sp. 05N38	8823266
GCA_056397365	ASM5639736v1	AtSC	SAMN42773439	Stenotrophomonas sp. 05N37	4522255
GCA_056397385	ASM5639738v1	AtSC	SAMN42773438	Pseudomonas sp. 05N36	6059089
GCA_056397405	ASM5639740v1	AtSC	SAMN42773437	Variovorax sp. 05N34	6310653
GCA_056397425	ASM5639742v1	AtSC	SAMN42773436	Arthrobacter sp. 05N33_2	4448282
GCA_056397445	ASM5639744v1	AtSC	SAMN42773435	Neorhizobium sp. 05N33	6318303
GCA_056397465	ASM5639746v1	AtSC	SAMN42773434	Arthrobacter sp. 05N32	4464107
GCA_056397485	ASM5639748v1	AtSC	SAMN42773433	Arthrobacter sp. 05N31	4461038
GCA_056397505	ASM5639750v1	AtSC	SAMN42773432	Stenotrophomonas sp. 05L47	4703372
GCA_056397525	ASM5639752v1	AtSC	SAMN42773431	Arthrobacter sp. 05L45_2	3344273
GCA_056397545	ASM5639754v1	AtSC	SAMN42773430	Cupriavidus sp. 05L45	5990090
GCA_056397565	ASM5639756v1	AtSC	SAMN42773429	Lysinibacillus sp. 05L44_3	4288898
GCA_056397585	ASM5639758v1	AtSC	SAMN42773426	Pedobacter sp. 05L430	6077924
GCA_056397605	ASM5639760v1	AtSC	SAMN42773427	Arthrobacter sp. 05L44	3409294
GCA_056397625	ASM5639762v1	AtSC	SAMN42773425	Cupriavidus sp. 05L43	6710581
GCA_056397645	ASM5639764v1	AtSC	SAMN42773424	Rhizobium sp. 05L429	7254494
GCA_056397665	ASM5639766v1	AtSC	SAMN42773423	Arthrobacter sp. 05L428	3624513
GCA_056397685	ASM5639768v1	AtSC	SAMN42773422	Microvirga sp. 05L427	4076063
GCA_056397705	ASM5639770v1	AtSC	SAMN42773421	Variovorax sp. 05L425	6240136
GCA_056397725	ASM5639772v1	AtSC	SAMN42773420	Bacillus sp. 05L423_2	3289173
GCA_056397745	ASM5639774v1	AtSC	SAMN42773419	Allobosea sp. 05L423	6364917
GCA_056397765	ASM5639776v1	AtSC	SAMN42773418	Caulobacter sp. 05L422	5445883
GCA_056397785	ASM5639778v1	AtSC	SAMN42773417	Arthrobacter sp. 05L421	4787196
GCA_056397805	ASM5639780v1	AtSC	SAMN42773416	Pedobacter sp. 05L420	6121766
GCA_056397825	ASM5639782v1	AtSC	SAMN42773415	Cupriavidus sp. 05L42	8525895
GCA_056397845	ASM5639784v1	AtSC	SAMN42773414	Rhizobium sp. 05L419	6320201
GCA_056397865	ASM5639786v1	AtSC	SAMN42773413	Arthrobacter sp. 05L417	5647678
GCA_056397885	ASM5639788v1	AtSC	SAMN42773412	Lysobacter sp. 05L416	3714828
GCA_056397905	ASM5639790v1	AtSC	SAMN42773410	Stenotrophomonas sp. 05L414_2	4689132
GCA_056397925	ASM5639792v1	AtSC	SAMN42773409	Cupriavidus sp. 05L414	6739046
GCA_056397945	ASM5639794v1	AtSC	SAMN42773408	Stenotrophomonas sp. 05L413	4253184
GCA_056397965	ASM5639796v1	AtSC	SAMN42773406	Stenotrophomonas sp. 05L412_3	4700670
GCA_056397985	ASM5639798v1	AtSC	SAMN42773407	Bacillus sp. 05L412_4	5743441
GCA_056398005	ASM5639800v1	AtSC	SAMN42773405	Caulobacter sp. 05L412_2	5280107
GCA_056398025	ASM5639802v1	AtSC	SAMN42773404	Bacillus sp. 05L412	3793303
GCA_056398045	ASM5639804v1	AtSC	SAMN42773403	Cupriavidus sp. 05L411	8694256
GCA_056398065	ASM5639806v1	AtSC	SAMN42773402	Pseudomonas sp. 05L39	6291259
GCA_056398085	ASM5639808v1	AtSC	SAMN42773401	Stenotrophomonas sp. 05L38_2	4633195
GCA_056398105	ASM5639810v1	AtSC	SAMN42773400	Stenotrophomonas sp. 05L36_2	4693059
GCA_056398125	ASM5639812v1	AtSC	SAMN42773399	Pseudomonas sp. 05L36	6507569
GCA_056398145	ASM5639814v1	AtSC	SAMN42773398	Stenotrophomonas sp. 05L34_2	4630273
GCA_056398165	ASM5639816v1	AtSC	SAMN42773397	Pseudomonas sp. 05L32	6433522
GCA_056398185	ASM5639818v1	AtSC	SAMN42773396	Cupriavidus sp. 05L310	9179595
GCA_056398205	ASM5639820v1	AtSC	SAMN42773395	Pedobacter sp. 01T49	6524206
GCA_056398225	ASM5639822v1	AtSC	SAMN42773394	Arthrobacter sp. 01T47_2	4817654
GCA_056398245	ASM5639824v1	AtSC	SAMN42773393	Paenibacillus sp. 01T47	7874867
GCA_056398265	ASM5639826v1	AtSC	SAMN42773392	Caulobacter sp. 01T46	5276421
GCA_056398285	ASM5639828v1	AtSC	SAMN42773391	Dyella sp. 01T445	4755031
GCA_056398305	ASM5639830v1	AtSC	SAMN42773390	Rhizobium sp. 01T444	7737132
GCA_056398325	ASM5639832v1	AtSC	SAMN42773389	Paenibacillus sp. 01T443	7658379
GCA_056398345	ASM5639834v1	AtSC	SAMN42773388	Paenibacillus sp. 01T442	8104554
GCA_056398365	ASM5639836v1	AtSC	SAMN42773387	Allobosea sp. 01T441	6292709
GCA_056398385	ASM5639838v1	AtSC	SAMN42773386	Variovorax sp. 01T440	6701147
GCA_056398405	ASM5639840v1	AtSC	SAMN42773385	Cupriavidus sp. 01T44	6247493
GCA_056398425	ASM5639842v1	AtSC	SAMN42773383	Microbacterium sp. 01T439	3938639
GCA_056398445	ASM5639844v1	AtSC	SAMN42773384	Variovorax sp. 01T439_2	6339481
GCA_056398465	ASM5639846v1	AtSC	SAMN42773382	Dyella sp. 01T438	4708693
GCA_056398485	ASM5639848v1	AtSC	SAMN42773380	Rhizobium sp. 01T436	7652826
GCA_056398505	ASM5639850v1	AtSC	SAMN42773381	Rhizobium sp. 01T437	7429404
GCA_056398525	ASM5639852v1	AtSC	SAMN42773379	Arthrobacter sp. 01T435	4628241
GCA_056398545	ASM5639854v1	AtSC	SAMN42773378	Terrabacter sp. 01T434	4718869
GCA_056398565	ASM5639856v1	AtSC	SAMN42773377	Allobosea sp. 01T433_2	6444336
GCA_056398585	ASM5639858v1	AtSC	SAMN42773376	Aminobacter sp. 01T433	6220124
GCA_056398605	ASM5639860v1	AtSC	SAMN42773375	Variovorax sp. 01T432	7332678
GCA_056398625	ASM5639862v1	AtSC	SAMN42773374	Paenibacillus sp. 01T431	7813447
GCA_056398645	ASM5639864v1	AtSC	SAMN42773373	Cupriavidus sp. 01T430	5947135
GCA_056398665	ASM5639866v1	AtSC	SAMN42773372	Pseudarthrobacter sp. 01T43	4211326
GCA_056398685	ASM5639868v1	AtSC	SAMN42773371	Arthrobacter sp. 01T428	4985152
GCA_056398705	ASM5639870v1	AtSC	SAMN42773370	Aminobacter sp. 01T427	6225854
GCA_056398725	ASM5639872v1	AtSC	SAMN42773369	Arthrobacter sp. 01T425	4694532
GCA_056398745	ASM5639874v1	AtSC	SAMN42773368	Paenibacillus sp. 01T424	7791033
GCA_056398765	ASM5639876v1	AtSC	SAMN42773367	Cupriavidus sp. 01T423	6140180
GCA_056398785	ASM5639878v1	AtSC	SAMN42773366	Paenibacillus sp. 01T422	7956330
GCA_056398805	ASM5639880v1	AtSC	SAMN42773365	Hyphomicrobium sp. 01T421	4483441
GCA_056398825	ASM5639882v1	AtSC	SAMN42773364	Stenotrophomonas sp. 01T420	4703807
GCA_056398845	ASM5639884v1	AtSC	SAMN42773363	Bacillus sp. 01T419_2	5941159
GCA_056398865	ASM5639886v1	AtSC	SAMN42773362	Arthrobacter sp. 01T419	4821853
GCA_056398885	ASM5639888v1	AtSC	SAMN42773361	Cupriavidus sp. 01T418	7795897
GCA_056398905	ASM5639890v1	AtSC	SAMN42773360	Rhizobium sp. 01T417	6577482
GCA_056398925	ASM5639892v1	AtSC	SAMN42773359	Pedobacter sp. 01T416_2	6263123
GCA_056398945	ASM5639894v1	AtSC	SAMN42773358	Dyella sp. 01T416	4738129
GCA_056398965	ASM5639896v1	AtSC	SAMN42773357	Arthrobacter sp. 01T414	3587663
GCA_056398985	ASM5639898v1	AtSC	SAMN42773356	Microbacterium sp. 01T413_2	3938838
GCA_056399005	ASM5639900v1	AtSC	SAMN42773355	Caulobacter sp. 01T412	5291649
GCA_056399025	ASM5639902v1	AtSC	SAMN42773354	Stenotrophomonas sp. 01T411	4698380
GCA_056399045	ASM5639904v1	AtSC	SAMN42773353	Cupriavidus sp. 01T41	5542588
GCA_056399065	ASM5639906v1	AtSC	SAMN42773352	Stenotrophomonas sp. 01T39	4708651
GCA_056399085	ASM5639908v1	AtSC	SAMN42773351	Stenotrophomonas sp. 01T37	4700692
GCA_056399105	ASM5639910v1	AtSC	SAMN42773350	Bacillus sp. 01T32	5675936
GCA_056399125	ASM5639912v1	AtSC	SAMN42773349	Pseudomonas sp. 01T31	6597759
GCA_056399145	ASM5639914v1	AtSC	SAMN42773348	Rhizobium sp. 01N48	4767835
GCA_056399165	ASM5639916v1	AtSC	SAMN42773347	Stenotrophomonas sp. 01N47	4641215
GCA_056399185	ASM5639918v1	AtSC	SAMN42773346	Stenotrophomonas sp. 01N46	4711266
GCA_056399205	ASM5639920v1	AtSC	SAMN42773345	Bacillus sp. 01N45	5778234
GCA_056399225	ASM5639922v1	AtSC	SAMN42773344	Dyella sp. 01N448	4795504
GCA_056399245	ASM5639924v1	AtSC	SAMN42773343	Rhizobium sp. 01N447_2	7805241
GCA_056399265	ASM5639926v1	AtSC	SAMN42773342	Pedobacter sp. 01N447	6507938
GCA_056399285	ASM5639928v1	AtSC	SAMN42773341	Mesorhizobium sp. 01N446	7162154
GCA_056399305	ASM5639930v1	AtSC	SAMN42773340	Arthrobacter sp. 01N444	4563647
GCA_056399325	ASM5639932v1	AtSC	SAMN42773339	Allobosea sp. 01N443	7488124
GCA_056399345	ASM5639934v1	AtSC	SAMN42773338	Arthrobacter sp. 01N442	3644786
GCA_056399365	ASM5639936v1	AtSC	SAMN42773337	Cupriavidus sp. 01N44	6856886
GCA_056399385	ASM5639938v1	AtSC	SAMN42773336	Cupriavidus sp. 01N43	6004655
GCA_056399405	ASM5639940v1	AtSC	SAMN42773334	Phyllobacterium sp. 01N428	4694048
GCA_056399425	ASM5639942v1	AtSC	SAMN42773335	Variovorax sp. 01N429	6495263
GCA_056399445	ASM5639944v1	AtSC	SAMN42773333	Caulobacter sp. 01N427	5292827
GCA_056399465	ASM5639946v1	AtSC	SAMN42773332	Variovorax sp. 01N425	6842203
GCA_056399485	ASM5639948v1	AtSC	SAMN42773331	Rhizobium sp. 01N424	6034873
GCA_056399505	ASM5639950v1	AtSC	SAMN42773330	Pedobacter sp. 01N423	6125265
GCA_056399525	ASM5639952v1	AtSC	SAMN42773329	Stenotrophomonas sp. 01N422	4705246
GCA_056399545	ASM5639954v1	AtSC	SAMN42773328	Pseudomonas sp. 01N42_3	4865748
GCA_056399565	ASM5639956v1	AtSC	SAMN42773327	Bacillus sp. 01N42_2	3769664
GCA_056399585	ASM5639958v1	AtSC	SAMN42773326	Cupriavidus sp. 01N419	6093384
GCA_056399605	ASM5639960v1	AtSC	SAMN42773324	Variovorax sp. 01N418	6701208
GCA_056399625	ASM5639962v1	AtSC	SAMN42773325	Allobosea sp. 01N418_2	6834774
GCA_056399645	ASM5639964v1	AtSC	SAMN42773323	Massilia sp. 01N417	5851931
GCA_056399665	ASM5639966v1	AtSC	SAMN42773320	Massilia sp. 01N410	5938639
GCA_056399685	ASM5639968v1	AtSC	SAMN42773322	Pedobacter sp. 01N416	6342506
GCA_056399705	ASM5639970v1	AtSC	SAMN42773319	Dyella sp. 01N38	4837629
GCA_056399725	ASM5639972v1	AtSC	SAMN42773318	Achromobacter sp. 01N37	6660142
GCA_056399745	ASM5639974v1	AtSC	SAMN42773317	Dyella sp. 01N36	4780089
GCA_056399765	ASM5639976v1	AtSC	SAMN42773315	Pseudomonas sp. 01N33	6847105
GCA_056399785	ASM5639978v1	AtSC	SAMN42773316	Brevundimonas sp. 01N35	3047879
GCA_056399805	ASM5639980v1	AtSC	SAMN42773314	Pedobacter sp. 01N310	5101838
GCA_056399825	ASM5639982v1	AtSC	SAMN42773312	Cupriavidus sp. 01L49	6274225
GCA_056399845	ASM5639984v1	AtSC	SAMN42773313	Caulobacter sp. 01L49_2	5172671
GCA_056399865	ASM5639986v1	AtSC	SAMN42773311	Stenotrophomonas sp. 01L47	4709917
GCA_056399885	ASM5639988v1	AtSC	SAMN42773309	Cupriavidus sp. 01L45	8829357
GCA_056399905	ASM5639990v1	AtSC	SAMN42773310	Cupriavidus sp. 01L46	8261867
GCA_056399925	ASM5639992v1	AtSC	SAMN42773308	Cupriavidus sp. 01L43	6051219
GCA_056399945	ASM5639994v1	AtSC	SAMN42773307	Dyella sp. 01L423	4699066
GCA_056399965	ASM5639996v1	AtSC	SAMN42773306	Caulobacter sp. 01L422	5288518
GCA_056399985	ASM5639998v1	AtSC	SAMN42773305	Chitinophaga sp. 01L420	9394265
GCA_056400005	ASM5640000v1	AtSC	SAMN42773304	Arthrobacter sp. 01L42	4650053
GCA_056400025	ASM5640002v1	AtSC	SAMN42773303	Rhizobium sp. 01L419	7432202
GCA_056400045	ASM5640004v1	AtSC	SAMN42773302	Paenibacillus sp. 01L418	7752437
GCA_056400065	ASM5640006v1	AtSC	SAMN42773300	Cupriavidus sp. 01L415	6664069
GCA_056400085	ASM5640008v1	AtSC	SAMN42773301	Pedobacter sp. 01L416	6519019
GCA_056400105	ASM5640010v1	AtSC	SAMN42773299	Cupriavidus sp. 01L414	9161954
GCA_056400125	ASM5640012v1	AtSC	SAMN42773298	Cupriavidus sp. 01L412	8560154
GCA_056400145	ASM5640014v1	AtSC	SAMN42773297	Pseudomonas sp. 01L411	6499050
GCA_056400165	ASM5640016v1	AtSC	SAMN42773296	Rhizobium sp. 01L410	5883767
GCA_056400185	ASM5640018v1	AtSC	SAMN42773294	Stenotrophomonas sp. 01L38	4710869
GCA_056400205	ASM5640020v1	AtSC	SAMN42773295	Cupriavidus sp. 01L41	8124345
GCA_056400225	ASM5640022v1	AtSC	SAMN42773293	Stenotrophomonas sp. 01L37	4704144
GCA_056400235	ASM5640023v1	AtSC	SAMN42773291	Pseudomonas sp. 01L33	6243305
GCA_056400265	ASM5640026v1	AtSC	SAMN42773292	Pseudomonas sp. 01L34	6507827
GCA_056400285	ASM5640028v1	AtSC	SAMN42773289	Pseudomonas sp. 01L31	6521572
GCA_056400305	ASM5640030v1	AtSC	SAMN42773605	Rhizobium sp. 10T428	6358295
GCA_056400325	ASM5640032v1	AtSC	SAMN42773290	Cupriavidus sp. 01L310	8797999
GCA_056400345	ASM5640034v1	HvSC	SAMN42779408	Microbacterium sp. P5_B6	4090184
GCA_056400365	ASM5640036v1	HvSC	SAMN42779407	Paenibacillus sp. P5_B5	5069892
GCA_056400385	ASM5640038v1	HvSC	SAMN42779406	Priestia sp. P5_B4	5516914
GCA_056400405	ASM5640040v1	HvSC	SAMN42779405	Pseudomonas sp. P5_B3	6372814
GCA_056400425	ASM5640042v1	HvSC	SAMN42779403	Lysobacter sp. P5_B12	3454265
GCA_056400445	ASM5640044v1	HvSC	SAMN42779404	Pseudomonas sp. P5_B2	6207338
GCA_056400465	ASM5640046v1	HvSC	SAMN42779402	Stenotrophomonas sp. P5_B11	4226680
GCA_056400485	ASM5640048v1	HvSC	SAMN42779401	Roseateles sp. P5_B10	6675639
GCA_056400505	ASM5640050v1	HvSC	SAMN42779400	Terrabacter sp. P5_B1	4461719
GCA_056400525	ASM5640052v1	HvSC	SAMN42779399	Stenotrophomonas sp. P5_A9	4589142
GCA_056400545	ASM5640054v1	HvSC	SAMN42779398	Stenotrophomonas sp. P5_A8	4513239
GCA_056400565	ASM5640056v1	HvSC	SAMN42779397	Stenotrophomonas sp. P5_A7	4566430
GCA_056400585	ASM5640058v1	HvSC	SAMN42779396	Mucilaginibacter sp. P5_A6	6678846
GCA_056400605	ASM5640060v1	HvSC	SAMN42779394	Mucilaginibacter sp. P5_A4	6550563
GCA_056400625	ASM5640062v1	HvSC	SAMN42779395	Allobosea sp. P5_A5	4719401
GCA_056400645	ASM5640064v1	HvSC	SAMN42779391	Burkholderiaceae bacterium P5_A2	6454668
GCA_056400665	ASM5640066v1	HvSC	SAMN42779393	Variovorax sp. P5_A3	7528657
GCA_056400685	ASM5640068v1	HvSC	SAMN42779390	Pseudomonas sp. P5_A12	6540756
GCA_056400705	ASM5640070v1	HvSC	SAMN42779389	Paenisporosarcina sp. P5_A11	3971838
GCA_056400725	ASM5640072v1	HvSC	SAMN42779388	Stenotrophomonas sp. P5_A10	4585125
GCA_056400745	ASM5640074v1	HvSC	SAMN42779387	Rhizobacter sp. P5_A1	5864983
GCA_056400765	ASM5640076v1	HvSC	SAMN42779385	Ramlibacter sp. P4_H7	5300156
GCA_056400785	ASM5640078v1	HvSC	SAMN42779386	Rhizorhabdus sp. P4_H7_2	3494814
GCA_056400805	ASM5640080v1	HvSC	SAMN42779384	Aminobacter sp. P4_H6_2	6146978
GCA_056400825	ASM5640082v1	HvSC	SAMN42779382	Allobosea sp. P4_H5	6367266
GCA_056400845	ASM5640084v1	HvSC	SAMN42779383	Mycobacterium sp. P4_H6	6601769
GCA_056400865	ASM5640086v1	HvSC	SAMN42779381	Cellulomonas sp. P4_H4	4174514
GCA_056400885	ASM5640088v1	HvSC	SAMN42779380	Arthrobacter sp. P4_H3	5395866
GCA_056400905	ASM5640090v1	HvSC	SAMN42779379	Cellulomonas sp. P4_H12	4194651
GCA_056400925	ASM5640092v1	HvSC	SAMN42779378	Alsobacter sp. P4_H11	5205056
GCA_056400945	ASM5640094v1	HvSC	SAMN42779376	Polaromonas sp. P4_H1	5389859
GCA_056400965	ASM5640096v1	HvSC	SAMN42779377	Asticcacaulis sp. P4_H10	4850001
GCA_056400985	ASM5640098v1	HvSC	SAMN42779375	Mucilaginibacter sp. P4_G9	6278255
GCA_056401005	ASM5640100v1	HvSC	SAMN42779373	Microvirga sp. P4_G7	4366440
GCA_056401025	ASM5640102v1	HvSC	SAMN42779374	Aminobacter sp. P4_G8	6384258
GCA_056401045	ASM5640104v1	HvSC	SAMN42779372	Rhizorhabdus sp. P4_G6	3868048
GCA_056401065	ASM5640106v1	HvSC	SAMN42779371	Rhizorhabdus sp. P4_G5	3920215
GCA_056401085	ASM5640108v1	HvSC	SAMN42779370	Nocardioides sp. P4_G4	4427173
GCA_056401105	ASM5640110v1	HvSC	SAMN42779369	Sphingomonas sp. P4_G3	4737564
GCA_056401155	ASM5640115v1	HvSC	SAMN42779368	Sphingomonas sp. P4_G2	4823930
GCA_056401175	ASM5640117v1	HvSC	SAMN42779365	Nocardioides sp. P4_G10	4807683
GCA_056401195	ASM5640119v1	HvSC	SAMN42779367	Rhodococcus sp. P4_G12	5273577
GCA_056401215	ASM5640121v1	HvSC	SAMN42779364	Tardiphaga sp. P4_G1	6493116
GCA_056401235	ASM5640123v1	HvSC	SAMN42779363	Polaromonas sp. P4_F9	5891496
GCA_056401255	ASM5640125v1	HvSC	SAMN42779362	Neorhizobium sp. P4_F8	6152564
GCA_056401275	ASM5640127v1	HvSC	SAMN42779360	Polaromonas sp. P4_F6	5127905
GCA_056401295	ASM5640129v1	HvSC	SAMN42779361	Aminobacter sp. P4_F7	6458450
GCA_056401315	ASM5640131v1	HvSC	SAMN42779359	Rhodococcus sp. P4_F5	5596382
GCA_056401335	ASM5640133v1	HvSC	SAMN42779357	Rhodococcus sp. P4_F3_2	7002580
GCA_056401355	ASM5640135v1	HvSC	SAMN42779358	Polaromonas sp. P4_F4	5441966
GCA_056401375	ASM5640137v1	HvSC	SAMN42779356	Rhodococcus sp. P4_F3_1_2	6116951
GCA_056401395	ASM5640139v1	HvSC	SAMN42779353	Arthrobacter sp. P4_F11	4596778
GCA_056401415	ASM5640141v1	HvSC	SAMN42779355	Priestia sp. P4_F2_1	5687105
GCA_056401435	ASM5640143v1	HvSC	SAMN42779352	Arthrobacter sp. P4_F10	5086156
GCA_056401455	ASM5640145v1	HvSC	SAMN42779351	Paenibacillus sp. P4_F1	8308370
GCA_056401475	ASM5640147v1	HvSC	SAMN42779350	Sphingomonas sp. P4_E9	4821928
GCA_056401495	ASM5640149v1	HvSC	SAMN42779349	Mucilaginibacter sp. P4_E8	7446228
GCA_056401515	ASM5640151v1	HvSC	SAMN42779348	Rhodococcus sp. P4_E7	10305447
GCA_056401535	ASM5640153v1	HvSC	SAMN42779347	Luteibacter sp. P4_E6	4807932
GCA_056401555	ASM5640155v1	HvSC	SAMN42779346	Caulobacter sp. P4_E5	5297987
GCA_056401575	ASM5640157v1	HvSC	SAMN42779344	Rhodococcus sp. P4_E4	6558470
GCA_056401595	ASM5640159v1	HvSC	SAMN42779345	Paenisporosarcina sp. P4_E4_2	3616463
GCA_056401615	ASM5640161v1	HvSC	SAMN42779343	Rhodococcus sp. P4_E3	6841785
GCA_056401635	ASM5640163v1	HvSC	SAMN42779340	Paenibacillus sp. P4_E11	7886920
GCA_056401655	ASM5640165v1	HvSC	SAMN42779341	Allobosea sp. P4_E12	7614424
GCA_056401675	ASM5640167v1	HvSC	SAMN42779339	Phenylobacterium sp. P4_E10	4188960
GCA_056401695	ASM5640169v1	HvSC	SAMN42779337	Variovorax sp. P4_D9	10438852
GCA_056401715	ASM5640171v1	HvSC	SAMN42779338	Bacillus sp. P4_E1	5544841
GCA_056401735	ASM5640173v1	HvSC	SAMN42779336	Luteibacter sp. P4_D7_3	4706270
GCA_056401755	ASM5640175v1	HvSC	SAMN42779334	Pseudomonas sp. P4_D7	6483878
GCA_056401775	ASM5640177v1	HvSC	SAMN42779335	Neorhizobium sp. P4_D7_2	6029934
GCA_056401795	ASM5640179v1	HvSC	SAMN42779333	Peribacillus sp. P4_D6	5500279
GCA_056401815	ASM5640181v1	HvSC	SAMN42779332	Aminobacter sp. P4_D5	7107190
GCA_056401835	ASM5640183v1	HvSC	SAMN42779331	Paenisporosarcina sp. P4_D4	3652133
GCA_056401855	ASM5640185v1	HvSC	SAMN42779330	Bacillus sp. P4_D3	5295471
GCA_056401875	ASM5640187v1	HvSC	SAMN42779329	Roseateles sp. P4_D2	6535744
GCA_056401895	ASM5640189v1	HvSC	SAMN42779328	Sphingomonas sp. P4_D12	4757219
GCA_056401915	ASM5640191v1	HvSC	SAMN42779327	Cellulomonas sp. P4_D11	4246634
